,Date_and_Time,Tweet_Id,User,Tweet,Like_Count,Retweet_Count,Lang,Location,Country,Cleaned_Tweets,POS_tagged,Lemma
10,2022-07-26 06:42:15+00:00,1551820175040581633,crusaderx2,"@bevedoni @elonmusk ..and Trump aborts plans to initiate NHSTA review of autopilot, all while losing 80 lbs in 3 we… https://t.co/iKe0F6dou7",0,0,en,Canada,Canada,"trump,aborts,plans,initiate,nhsta,review,autopilot,while,losing","[('trump', 'n'), (',', None), ('aborts', 'n'), (',', None), ('plans', 'n'), (',', None), ('initiate', 'n'), (',', None), ('nhsta', 'n'), (',', None), ('review', 'n'), (',', None), ('autopilot', 'n'), (',', None), (',', None), ('losing', 'v')]",trump abort plan initiate nhsta review autopilot lose
11,2022-07-26 02:36:10+00:00,1551758244074356736,healthstepsonly,"Why a plant-based diet could be your answer to a healthier, happier life in 2022 #Food #plantbased   https://t.co/QMwzkDZN9A",0,0,en,Canada,Canada,"plantbased,diet,could,your,answer,healthier,happier,life","[('plantbased', 'v'), (',', None), ('diet', 'a'), (',', None), ('could', None), (',', None), (',', None), ('answer', 'n'), (',', None), ('healthier', 'a'), (',', None), ('happier', 'a'), (',', None), ('life', 'n')]",plantbased diet answer healthy happy life
12,2022-07-25 13:21:43+00:00,1551558313946615808,KeyWestPsychic,"Other vegans told me that they would feel weak, have low iron, and their hair would fall out from not eating meat.… https://t.co/CSO7jbF0pt",0,0,en,🇨🇦Canada,Canada,"other,vegans,told,that,they,would,feel,weak,have,iron,their,hair,would,fall,from,eating,meat","[(',', None), ('vegans', 'n'), (',', None), ('told', 'v'), (',', None), (',', None), (',', None), ('would', None), (',', None), ('feel', 'v'), (',', None), ('weak', 'a'), (',', None), (',', None), ('iron', 'n'), (',', None), (',', None), ('hair', 'n'), (',', None), ('would', None), (',', None), ('fall', 'v'), (',', None), (',', None), ('eating', 'v'), (',', None), ('meat', 'n')]",vegan tell feel weak iron hair fall eat meat
13,2022-07-24 19:11:15+00:00,1551283889502425089,LibertasIustis,"@captainpylon @DavidBellamyUK Yeah but I'm thinking of the person washing the floors, not their fault 🤣🤣🤣 and the c… https://t.co/OZ82VEXMZE",0,0,en,Canada,Canada,"yeah,thinking,person,washing,floors,their,fault","[('yeah', 'n'), (',', None), ('thinking', 'n'), (',', None), ('person', 'n'), (',', None), ('washing', 'v'), (',', None), ('floors', 'n'), (',', None), (',', None), ('fault', 'n')]",thinking person wash floor fault
14,2022-08-03 12:23:23+00:00,1554805127189594113,kittendrawers,"@SkeloGlizzy @Wes_Talley @MetroUK Funny thing is,my diet is mostly vegetarian,which is completely healthy and achie… https://t.co/CPrgZa4Lqs",1,0,en,United States,US,"funny,thing,ismy,diet,mostly,vegetarianwhich,completely,healthy,achie","[('funny', 'r'), (',', None), ('thing', 'n'), (',', None), ('ismy', 'n'), (',', None), ('diet', 'a'), (',', None), ('mostly', 'r'), (',', None), ('vegetarianwhich', 'n'), (',', None), ('completely', 'r'), (',', None), ('healthy', 'a'), (',', None), ('achie', 'a')]",funny thing ismy diet mostly vegetarianwhich completely healthy achie
15,2022-08-03 11:45:10+00:00,1554795507742130177,RobotPeston,The man who used to live in David Cameron's house simply insisted that I tell you that post-Brexit the government w… https://t.co/TC8Rf6PyLj,0,0,en,Westminster,US,"used,live,david,camerons,house,simply,insisted,that,tell,that,postbrexit,government","[('used', 'v'), (',', None), ('live', 'a'), (',', None), ('david', 'a'), (',', None), ('camerons', 'n'), (',', None), ('house', 'n'), (',', None), ('simply', 'r'), (',', None), ('insisted', 'v'), (',', None), (',', None), ('tell', 'v'), (',', None), (',', None), ('postbrexit', 'n'), (',', None), ('government', 'n')]",use live david camerons house simply insist tell postbrexit government
16,2022-08-03 07:15:22+00:00,1554727609753169920,Grown_Simba27,@murujUP @Cbo78 @OLarsenB @ZubyMusic @NBCNews The vegan diet is the NWO diet so I can definitely see it being an ag… https://t.co/YvV6Oow1Tn,0,0,en,DENVER CO,US,"vegan,diet,diet,definitely,being","[('vegan', 'n'), (',', None), ('diet', 'a'), (',', None), ('diet', 'a'), (',', None), ('definitely', 'r'), (',', None)]",vegan diet diet definitely
17,2022-08-03 01:57:14+00:00,1554647551508455427,RockAppleWood,"@Lmarie0808 @_celia_bedelia_ If you and your vulgar mouth want to pick a fight about diets, then pick on me instead… https://t.co/0vTm4UCTBH",0,0,en,USA,US,"your,vulgar,mouth,want,pick,fight,about,diets,then,pick,instead","[(',', None), ('vulgar', 'n'), (',', None), ('mouth', 'n'), (',', None), ('want', 'v'), (',', None), ('pick', 'n'), (',', None), ('fight', 'n'), (',', None), (',', None), ('diets', 'n'), (',', None), (',', None), ('pick', 'r'), (',', None), ('instead', 'r')]",vulgar mouth want pick fight diet pick instead
18,2022-08-02 22:47:10+00:00,1554599716373073921,ChicagoPlantEat,"Vibrant colors represent the wide array of vitamins, minerals, antioxidants, phytonutrients, macronutrients...essen… https://t.co/pNZTCcQF2K",2,0,en,USA,US,"vibrant,colors,represent,wide,array,vitamins,minerals,antioxidants,phytonutrients,macronutrientsessen","[('vibrant', 'n'), (',', None), ('colors', 'n'), (',', None), ('represent', 'n'), (',', None), ('wide', 'a'), (',', None), ('array', 'n'), (',', None), ('vitamins', 'n'), (',', None), ('minerals', 'n'), (',', None), ('antioxidants', 'n'), (',', None), ('phytonutrients', 'n'), (',', None), ('macronutrientsessen', 'n')]",vibrant color represent wide array vitamin mineral antioxidant phytonutrients macronutrientsessen
19,2022-08-02 21:32:37+00:00,1554580958485045250,True__LeROy,@SnoflakeScalper @Rockemsrazor @davinciXtweets @NBCNews He prob feeds his animals a vegan diet when vets will liter… https://t.co/49Xwx65Hmm,0,0,en,"Denver, CO",US,"prob,feeds,animals,vegan,diet,when,vets,will,liter","[('prob', 'n'), (',', None), ('feeds', 'n'), (',', None), ('animals', 'n'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'n'), (',', None), (',', None), ('vets', 'n'), (',', None), (',', None), ('liter', 'v')]",prob feed animal vegan diet vet liter
20,2022-08-02 16:28:23+00:00,1554504394657243138,dearaSeattle,@Theo_TJ_Jordan @IsaiahLCarter Hard to read it any other way this year when there is a massive push to destroy food… https://t.co/T3vqil2pz2,1,0,en,"Pacific Coast, USA",US,"hard,read,other,this,year,when,there,massive,push,destroy,food","[('hard', 'r'), (',', None), ('read', 'v'), (',', None), (',', None), (',', None), ('year', 'n'), (',', None), (',', None), (',', None), ('massive', 'a'), (',', None), ('push', 'n'), (',', None), ('destroy', 'n'), (',', None), ('food', 'n')]",hard read year massive push destroy food
21,2022-08-02 14:20:41+00:00,1554472256566444033,OrganicLiveFood,As a society we need to change our attitude when it comes to #nutrition and we should make nutrition the primary pr… https://t.co/MtLZDN11ig,72,28,en,US,US,"society,need,change,attitude,when,comes,should,make,nutrition,primary","[('society', 'n'), (',', None), ('need', 'n'), (',', None), ('change', 'n'), (',', None), ('attitude', 'n'), (',', None), (',', None), ('comes', 'v'), (',', None), (',', None), ('make', 'v'), (',', None), ('nutrition', 'n'), (',', None), ('primary', 'a')]",society need change attitude come make nutrition primary
22,2022-08-02 13:20:38+00:00,1554457146422697988,OrganicLiveFood,#Diet and #exercise work together and are 6 folds more effective if u exercise and eat a #healthy diet:… https://t.co/nnljCae6Ol,21,9,en,US,US,"work,together,folds,more,effective,exercise,diet","[('work', 'n'), (',', None), ('together', 'r'), (',', None), ('folds', 'n'), (',', None), (',', None), ('effective', 'a'), (',', None), ('exercise', 'n'), (',', None), ('diet', 'n')]",work together fold effective exercise diet
23,2022-08-02 07:15:10+00:00,1554365172009123841,RobotPeston,All 17 ex-members of the Sugababes revealed a tattoo which read: post-Brexit the government will look to force at l… https://t.co/PNQbGmhp9M,0,0,en,Westminster,US,"exmembers,sugababes,revealed,tattoo,which,read,postbrexit,government,will,look,force","[('exmembers', 'n'), (',', None), ('sugababes', 'n'), (',', None), ('revealed', 'v'), (',', None), ('tattoo', 'n'), (',', None), (',', None), ('read', 'v'), (',', None), ('postbrexit', 'n'), (',', None), ('government', 'n'), (',', None), (',', None), ('look', 'v'), (',', None), ('force', 'n')]",exmembers sugababes reveal tattoo read postbrexit government look force
24,2022-08-02 04:56:22+00:00,1554330241094496257,ilovesparky3,"@YOURESODEAD Weight loss is based almost entirely on your diet, and the vegan diet isn’t inherently healthy.",0,0,en,United States,US,"weight,loss,based,almost,entirely,your,diet,vegan,diet,isnt,inherently,healthy","[('weight', 'n'), (',', None), ('loss', 'n'), (',', None), ('based', 'v'), (',', None), ('almost', 'r'), (',', None), ('entirely', 'r'), (',', None), (',', None), ('diet', 'a'), (',', None), ('vegan', 'a'), (',', None), ('diet', 'a'), (',', None), ('isnt', 'a'), (',', None), ('inherently', 'r'), (',', None), ('healthy', 'a')]",weight loss base almost entirely diet vegan diet inherently healthy
25,2022-08-02 03:12:08+00:00,1554304009556598784,sum1calleddude,"@RNCResearch Does anyone in the Democrat party speak in complete thoughts anymore? 

I'm so tired of word salads, I… https://t.co/Wf2TivcifV",1,0,en,United States,US,"does,anyone,democrat,party,speak,complete,thoughts,anymore,tired,word,salads","[(',', None), ('anyone', 'n'), (',', None), ('democrat', 'n'), (',', None), ('party', 'n'), (',', None), ('speak', 'n'), (',', None), ('complete', 'a'), (',', None), ('thoughts', 'n'), (',', None), ('anymore', 'r'), (',', None), ('tired', 'v'), (',', None), ('word', 'n'), (',', None), ('salads', 'n')]",anyone democrat party speak complete thought anymore tire word salad
26,2022-08-02 02:47:10+00:00,1554297727093186560,ChicagoPlantEat,"Great interview of Drs Kim Williams &amp; Caldwell Esselstyn, both pillars in the medical community extolling the benef… https://t.co/EDeRRM1k2z",3,0,en,USA,US,"great,interview,williams,caldwell,esselstyn,both,pillars,medical,community,extolling,benef","[('great', 'a'), (',', None), ('interview', 'n'), (',', None), ('williams', 'n'), (',', None), ('caldwell', 'n'), (',', None), ('esselstyn', 'n'), (',', None), (',', None), ('pillars', 'n'), (',', None), ('medical', 'a'), (',', None), ('community', 'n'), (',', None), ('extolling', 'v'), (',', None), ('benef', 'n')]",great interview caldwell esselstyn medical community extol benef
27,2022-08-02 01:21:13+00:00,1554276097432379392,Geiiga,@TallYouBack This fits with the reasons I keep to a primarily vegan diet but have a customer loyalty card for the b… https://t.co/ffKpzHektf,1,0,en,Kansas,US,"this,fits,with,reasons,keep,primarily,vegan,diet,have,customer,loyalty,card","[(',', None), ('fits', 'v'), (',', None), (',', None), ('reasons', 'n'), (',', None), ('keep', 'v'), (',', None), ('primarily', 'r'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'n'), (',', None), (',', None), ('customer', 'n'), (',', None), ('loyalty', 'n'), (',', None), ('card', 'n')]",fit reason keep primarily vegan diet customer loyalty card
28,2022-08-01 23:47:39+00:00,1554252549439602711,kcrawford86,According to plant-based physician Dr. Mills what you eat affects your health more than we might think.… https://t.co/VTLR8G9iw7,0,0,en,"Missouri, USA",US,"according,plantbased,physician,mills,what,affects,your,health,more,than,might,think","[('according', 'v'), (',', None), ('plantbased', 'v'), (',', None), ('physician', 'a'), (',', None), ('mills', 'n'), (',', None), (',', None), ('affects', 'v'), (',', None), (',', None), ('health', 'n'), (',', None), (',', None), (',', None), ('might', None), (',', None), ('think', 'v')]",accord plantbased physician affect health might think
29,2022-08-01 21:21:18+00:00,1554215722343096323,WaistlessAxe,@AintNoPigeon @kabuto_beetle @mahinalvr @AmieWohrer @NBCNews Oh like the person who put their infant on a vegan die… https://t.co/b5tBk37JSO,2,0,en,United States,US,"like,person,their,infant,vegan","[('like', None), (',', None), ('person', 'n'), (',', None), (',', None), ('infant', 'n'), (',', None), ('vegan', 'n')]",like person infant vegan
30,2022-08-01 18:54:34+00:00,1554178795778752514,BodyBuilding_SP,"2022 Wimbledon finalists Novak Djokovic and Nick Kyrgios were, unusually, both vegan – here's how a plant-based die… https://t.co/ZxIUsMOhFu",0,0,en,United States,US,"wimbledon,finalists,novak,djokovic,nick,kyrgios,were,unusually,both,vegan,heres,plantbased","[('wimbledon', 'n'), (',', None), ('finalists', 'n'), (',', None), ('novak', 'r'), (',', None), ('djokovic', 'n'), (',', None), ('nick', 'r'), (',', None), ('kyrgios', 'n'), (',', None), (',', None), ('unusually', 'r'), (',', None), (',', None), ('vegan', 'n'), (',', None), ('heres', 'n'), (',', None), ('plantbased', 'v')]",wimbledon finalist novak nick kyrgios unusually vegan plantbased
31,2022-08-01 18:44:17+00:00,1554176207519875072,PorchSong,"@Babygravy9 Plants were the first to use biological warfare.  They didn't want to be eaten, so they produced anti-n… https://t.co/8LY2u99Nf8",0,0,en,"Denver, CO",US,"plants,were,first,biological,warfare,they,didnt,want,eaten,they,produced,antin","[('plants', 'n'), (',', None), (',', None), ('first', 'r'), (',', None), ('biological', 'a'), (',', None), ('warfare', 'n'), (',', None), (',', None), ('didnt', 'v'), (',', None), ('want', 'v'), (',', None), ('eaten', 'v'), (',', None), (',', None), ('produced', 'v'), (',', None), ('antin', 'n')]",plant first biological warfare want eat produce antin
32,2022-08-01 13:21:21+00:00,1554094936991178752,OrganicLiveFood,Try lemon fast #diet for 10 days: https://t.co/iOxjurLkqu The #lemon fast diet known as Master #Cleanse or Maple Sy… https://t.co/v5BhoGUP4q,92,25,en,US,US,"lemon,fast,days,fast,diet,known,master,maple","[('lemon', 'n'), (',', None), ('fast', 'r'), (',', None), ('days', 'n'), (',', None), ('fast', 'r'), (',', None), ('diet', 'a'), (',', None), ('known', 'v'), (',', None), ('master', 'n'), (',', None), ('maple', 'n')]",lemon fast day fast diet know master maple
33,2022-08-01 13:21:13+00:00,1554094905865166850,OrganicLiveFood,How high dose of vitamin C fight and destroy #cancer cells? https://t.co/am4K2C41Mk Intravenous #VitaminC for Cance… https://t.co/jyzasiRoiQ,24,12,en,US,US,"high,dose,vitamin,fight,destroy,cells,intravenous,cance","[('high', 'a'), (',', None), ('dose', 'a'), (',', None), ('vitamin', 'a'), (',', None), ('fight', 'n'), (',', None), ('destroy', 'n'), (',', None), ('cells', 'n'), (',', None), ('intravenous', 'a'), (',', None), ('cance', 'n')]",high dose vitamin fight destroy cell intravenous cance
34,2022-08-01 12:20:31+00:00,1554079628062490625,OrganicLiveFood,Take care of your body and it will take care of you; how to boost your #immunesystem and improve your overall… https://t.co/KKJolGhxSP,63,29,en,US,US,"take,care,your,body,will,take,care,boost,your,improve,your,overall","[('take', 'n'), (',', None), ('care', 'n'), (',', None), (',', None), ('body', 'n'), (',', None), (',', None), ('take', 'v'), (',', None), ('care', 'n'), (',', None), ('boost', 'n'), (',', None), (',', None), ('improve', 'v'), (',', None), (',', None), ('overall', 'a')]",take care body take care boost improve overall
35,2022-08-01 11:47:09+00:00,1554071232605192193,ChicagoPlantEat,The REAL Health Movement is growing!  Whether your health issue is heart health or diabetes or any of a number of O… https://t.co/KkamCeh2Hs,0,0,en,USA,US,"real,health,movement,growing,whether,your,health,issue,heart,health,diabetes,number","[('real', 'a'), (',', None), ('health', 'n'), (',', None), ('movement', 'n'), (',', None), ('growing', 'v'), (',', None), ('whether', None), (',', None), (',', None), ('health', 'n'), (',', None), ('issue', 'n'), (',', None), ('heart', 'n'), (',', None), ('health', 'n'), (',', None), ('diabetes', 'v'), (',', None), ('number', 'n')]",real health movement grow whether health issue heart health diabetes number
36,2022-08-01 11:11:43+00:00,1554062312973209607,CarrieK780,"@Bee75Mo Mushrooms, beans, and nuts certainly  are a huge staple for a vegan diet. Besides being delicious they are… https://t.co/vaCeXvsZPG",1,0,en,United States,US,"mushrooms,beans,nuts,certainly,huge,staple,vegan,diet,besides,being,delicious,they","[('mushrooms', 'n'), (',', None), ('beans', 'n'), (',', None), ('nuts', 'n'), (',', None), ('certainly', 'r'), (',', None), ('huge', 'a'), (',', None), ('staple', 'a'), (',', None), ('vegan', 'a'), (',', None), ('diet', 'a'), (',', None), ('besides', 'n'), (',', None), (',', None), ('delicious', 'a'), (',', None)]",mushroom bean nut certainly huge staple vegan diet besides delicious
37,2022-08-01 09:59:40+00:00,1554044183094202369,TheRealHyena,"@libertybroad So, when SHTF im not supposed to take stock of who eats a ton of processed food, Eats healthy and who… https://t.co/m0JXv8Jdrq",2,0,en,United States,US,"when,shtf,supposed,take,stock,eats,processed,food,eats,healthy","[(',', None), ('shtf', 'n'), (',', None), ('supposed', 'v'), (',', None), ('take', 'v'), (',', None), ('stock', 'n'), (',', None), ('eats', 'n'), (',', None), ('processed', 'v'), (',', None), ('food', 'n'), (',', None), ('eats', 'n'), (',', None), ('healthy', 'a')]",shtf suppose take stock eats process food eats healthy
38,2022-08-01 03:26:18+00:00,1553945187084378113,Sammibunny23,"The next time some douche-faggot tries to woo me by saying they'll ""put me on a gluten-free diet,"" all i have to sa… https://t.co/2VyHxegjIX",0,0,en,United States,US,"next,time,some,douchefaggot,tries,saying,theyll,glutenfree,diet,have","[('next', 'a'), (',', None), ('time', 'n'), (',', None), (',', None), ('douchefaggot', 'v'), (',', None), ('tries', 'n'), (',', None), ('saying', 'v'), (',', None), ('theyll', 'n'), (',', None), ('glutenfree', 'n'), (',', None), ('diet', 'a'), (',', None)]",next time douchefaggot try say theyll glutenfree diet
39,2022-08-01 03:00:17+00:00,1553938639335424000,Butterfly329,Nonwhite Americans are eating less meat. Vegan activists of color explain why https://t.co/9HfGrUxWdq,1,0,en,USA,US,"nonwhite,americans,eating,less,meat,vegan,activists,color,explain","[('nonwhite', 'r'), (',', None), ('americans', 'n'), (',', None), ('eating', 'v'), (',', None), ('less', 'r'), (',', None), ('meat', 'n'), (',', None), ('vegan', 'n'), (',', None), ('activists', 'n'), (',', None), ('color', 'n'), (',', None), ('explain', 'v')]",nonwhite american eat less meat vegan activist color explain
40,2022-08-01 01:51:05+00:00,1553921225335812097,shootwithscoot,@LakersNation That vegan diet don’t do these athletes no justice.,0,0,en,"Nevada, USA",US,"that,vegan,diet,dont,these,athletes,justice","[(',', None), ('vegan', None), (',', None), ('diet', 'a'), (',', None), ('dont', 'a'), (',', None), (',', None), ('athletes', 'n'), (',', None), ('justice', 'n')]",vegan diet athlete justice
41,2022-08-01 01:12:17+00:00,1553911462086819840,Butterfly329,"Might check this out this evening. 

The End of Meat (1080p) FULL DOCUMENTARY - vegan, Diet, Vegetarian https://t.co/9GRKmFL7Gf via @YouTube",2,1,en,USA,US,"might,check,this,this,evening,meat,full,documentary,vegan,diet,vegetarian","[('might', None), (',', None), ('check', 'v'), (',', None), (',', None), (',', None), ('evening', 'n'), (',', None), ('meat', 'n'), (',', None), ('full', 'a'), (',', None), ('documentary', 'a'), (',', None), ('vegan', 'a'), (',', None), ('diet', 'a'), (',', None), ('vegetarian', 'a')]",might check evening meat full documentary vegan diet vegetarian
42,2022-08-01 00:24:56+00:00,1553899547453034496,abdalsunshine,"@SimplyCasualz @Just_LAW9 @ostonox @hasanthehun Nope! Typically chickens eat whatever they find around them, so tha… https://t.co/rLl0rTRKUf",1,0,en,"So Cal, USA",US,"nope,typically,chickens,whatever,they,find,around,them","[('nope', 'n'), (',', None), ('typically', 'r'), (',', None), ('chickens', 'n'), (',', None), ('whatever', 'r'), (',', None), (',', None), ('find', 'v'), (',', None), ('around', 'r'), (',', None)]",nope typically chicken whatever find around
43,2022-08-01 00:19:06+00:00,1553898079694295041,kallianeria,really glad i’m finally out of the vegan/vegetarian diet. i don’t have regrets but i do wish i was smarter about my… https://t.co/VZT3Mrsy7W,12,0,en,United States,US,"really,glad,finally,veganvegetarian,diet,dont,have,regrets,wish,smarter,about","[('really', 'r'), (',', None), ('glad', 'n'), (',', None), ('finally', 'r'), (',', None), ('veganvegetarian', 'a'), (',', None), ('diet', 'a'), (',', None), ('dont', 'n'), (',', None), (',', None), ('regrets', 'n'), (',', None), ('wish', 'a'), (',', None), ('smarter', 'r'), (',', None)]",really glad finally veganvegetarian diet regret wish smarter
44,2022-07-31 22:32:39+00:00,1553871288288137216,Design_Folklore,"“As a society we've been brainwashed into thinking that a vegan diet is extreme.”

– @theperfectbuzz

https://t.co/ByqcUlcUcB",1,0,en,United States,US,"society,weve,been,brainwashed,into,thinking,that,vegan,diet,extreme","[('society', 'n'), (',', None), ('weve', 'v'), (',', None), (',', None), ('brainwashed', 'v'), (',', None), (',', None), ('thinking', 'v'), (',', None), (',', None), ('vegan', None), (',', None), ('diet', 'a'), (',', None), ('extreme', 'a')]",society weve brainwash think vegan diet extreme
45,2022-07-31 19:28:00+00:00,1553824819195551744,OrganicLiveFood,How to keep your #metabolism working at an optimal level to enjoy the benefits of ideal body #weight and good energ… https://t.co/cBx9cMALD5,75,27,en,US,US,"keep,your,working,optimal,level,enjoy,benefits,ideal,body,good,energ","[('keep', 'v'), (',', None), (',', None), ('working', 'v'), (',', None), ('optimal', 'a'), (',', None), ('level', 'n'), (',', None), ('enjoy', 'n'), (',', None), ('benefits', 'n'), (',', None), ('ideal', 'n'), (',', None), ('body', 'n'), (',', None), ('good', 'a'), (',', None), ('energ', 'v')]",keep work optimal level enjoy benefit ideal body good energ
46,2022-07-31 16:12:12+00:00,1553775546026311680,kniggliator,"@NutritionalThe3 The Italians have always gotten this issue right.  A vegan diet is unsuitable for children, even your own.",2,0,en,"Belton, MO",US,"italians,have,always,gotten,this,issue,right,vegan,diet,unsuitable,children,even,your","[('italians', 'n'), (',', None), (',', None), ('always', 'r'), (',', None), ('gotten', None), (',', None), (',', None), ('issue', 'n'), (',', None), ('right', 'r'), (',', None), ('vegan', 'n'), (',', None), ('diet', 'a'), (',', None), ('unsuitable', 'a'), (',', None), ('children', 'n'), (',', None), ('even', 'r'), (',', None)]",italian always gotten issue right vegan diet unsuitable child even
